Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Cereals and bakery products,Bakery products,1976/01/01,15142,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/02/01,14990,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/03/01,15083,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/04/01,15174,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/05/01,15223,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/06/01,15436,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/07/01,15335,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/08/01,15506,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/09/01,15484,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/10/01,15614,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/11/01,15467,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1976/12/01,15673,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/01/01,15919,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/02/01,15705,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/03/01,15622,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/04/01,15732,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/05/01,16063,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/06/01,16050,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/07/01,16072,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/08/01,15903,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/09/01,15879,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/10/01,16098,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/11/01,16517,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1977/12/01,16192,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/01/01,16004,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/02/01,16211,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/03/01,16301,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/04/01,16208,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/05/01,16333,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/06/01,16542,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/07/01,16456,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/08/01,16585,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/09/01,16869,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/10/01,16811,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/11/01,17150,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1978/12/01,17442,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/01/01,17799,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/02/01,17907,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/03/01,18170,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/04/01,18026,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/05/01,18530,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/06/01,19219,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/07/01,18741,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/08/01,19130,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/09/01,19510,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/10/01,19600,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/11/01,20066,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1979/12/01,20077,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/01/01,20324,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/02/01,20470,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/03/01,20696,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/04/01,20755,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/05/01,20929,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/06/01,20933,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/07/01,21123,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/08/01,21558,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/09/01,21588,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/10/01,21778,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/11/01,21849,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1980/12/01,22000,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/01/01,22130,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/02/01,22073,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/03/01,22041,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/04/01,22253,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/05/01,22295,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/06/01,22363,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/07/01,22477,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/08/01,22665,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/09/01,22534,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/10/01,22858,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/11/01,22858,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1981/12/01,23176,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/01/01,23284,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/02/01,23609,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/03/01,23571,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/04/01,23882,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/05/01,24076,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/06/01,24125,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/07/01,24416,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/08/01,24184,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/09/01,24268,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/10/01,24504,2023/08/30 08:26:00
