Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Meats and poultry,Beef and veal,1976/01/01,20498,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/02/01,20419,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/03/01,20584,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/04/01,20664,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/05/01,20617,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/06/01,20732,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/07/01,20374,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/08/01,20328,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/09/01,19993,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/10/01,19825,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/11/01,19289,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1976/12/01,19178,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/01/01,19116,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/02/01,18476,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/03/01,17995,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/04/01,17736,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/05/01,17725,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/06/01,17344,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/07/01,17034,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/08/01,16556,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/09/01,16271,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/10/01,16287,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/11/01,16562,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1977/12/01,16160,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/01/01,17936,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/02/01,18744,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/03/01,19399,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/04/01,19800,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/05/01,20423,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/06/01,21106,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/07/01,21349,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/08/01,21799,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/09/01,22378,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/10/01,22419,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/11/01,22893,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1978/12/01,23201,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/01/01,23555,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/02/01,23599,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/03/01,23804,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/04/01,23440,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/05/01,23891,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/06/01,24546,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/07/01,23698,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/08/01,23943,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/09/01,24170,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/10/01,24041,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/11/01,24385,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1979/12/01,24195,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/01/01,24357,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/02/01,24403,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/03/01,24519,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/04/01,24418,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/05/01,24438,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/06/01,24251,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/07/01,24279,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/08/01,24588,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/09/01,24440,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/10/01,24485,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/11/01,24422,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1980/12/01,24475,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/01/01,24598,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/02/01,24521,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/03/01,24438,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/04/01,24587,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/05/01,24527,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/06/01,24478,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/07/01,24464,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/08/01,24520,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/09/01,24224,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/10/01,24432,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/11/01,24271,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1981/12/01,24447,2023/08/31 04:02:51
